DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL label1

#dataset color (can be changed later)
COLOR #7fcdbb

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES 0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE Dataset_legend
LEGEND_SHAPES 1 1 2 2
LEGEND_COLORS #ff0000 #00ff00 rgba(0,255,0,0.5) #0000ff
LEGEND_LABELS value1 value2 value3 value4

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
STRIP_WIDTH 35

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)

GCF_000423825.1|Proteobacteria_Acidithiobacillia_Acidithiobacillales #ffed6f Endonuclease III
GCF_001057005.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_900186995.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001262035.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001680805.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000231255.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002083125.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000226495.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000466335.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000185305.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001059425.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001596235.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001596425.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000226755.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001596315.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000226855.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000226815.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000318155.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000332915.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001594265.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000226715.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000017245.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000262245.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000940515.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_900101275.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000007745.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002263215.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000751835.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000752995.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000827595.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002015075.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002162195.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001931415.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001930825.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000969315.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000969305.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000348525.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_002795405.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_900176075.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000772535.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001678475.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001678635.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001678545.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001678495.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000772365.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000771935.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000464615.2|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000772275.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_000771915.1|Proteobacteria_Gammaproteobacteria_Pasteurellales #ffed6f Endonuclease III
GCF_001399975.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000238375.2|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001662245.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001661495.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_002156545.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_002276045.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001269985.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_900108485.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000296695.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_001752395.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_001704375.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000272005.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001441695.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_900215315.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000987775.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000987765.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_001275035.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000217935.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_001669775.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000711985.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000374485.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000767305.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000314975.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001660395.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000730385.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000213655.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001885075.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001886435.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000439535.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_000020585.3|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_002807665.1|Proteobacteria_Gammaproteobacteria_Alteromonadales #ffed6f Endonuclease III
GCF_001263335.1|Proteobacteria_Gammaproteobacteria_Cardiobacteriales #ffed6f Endonuclease III
GCF_001889065.1|Proteobacteria_Gammaproteobacteria_Cardiobacteriales #ffed6f Endonuclease III
GCF_000160655.1|Proteobacteria_Gammaproteobacteria_Cardiobacteriales #ffed6f Endonuclease III
GCF_900079085.1|Proteobacteria_Gammaproteobacteria_Cardiobacteriales #ffed6f Endonuclease III
GCF_001057485.1|Proteobacteria_Gammaproteobacteria_Cardiobacteriales #ffed6f Endonuclease III
GCF_000239355.1|Proteobacteria_Gammaproteobacteria_Cardiobacteriales #ffed6f Endonuclease III
GCF_000419525.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_000621325.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_002443175.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_002088235.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000740735.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000024725.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_900114205.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_000156355.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_000260985.4|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_000260965.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_000349205.1|Proteobacteria_Gammaproteobacteria_Thiotrichales #ffed6f Endonuclease III
GCF_900156225.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000377945.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000378965.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000321415.2|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000381825.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000420165.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000377785.1|Proteobacteria_Gammaproteobacteria_Chromatiales #ffed6f Endonuclease III
GCF_000685925.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_000384075.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_002209385.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_001644015.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_000214665.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_001644025.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_001644115.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_001644095.1|Proteobacteria_Gammaproteobacteria_Methylococcales #a6cee3 RnfH
GCF_002845745.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_001650635.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_000342045.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_001650715.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_900108475.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_000218875.1|Proteobacteria_Alphaproteobacteria_Sphingomonadales #a6cee3 RnfH
GCF_000498655.1|Proteobacteria_Alphaproteobacteria_Sphingomonadales #a6cee3 RnfH
GCF_000960975.1|Proteobacteria_Alphaproteobacteria_Rhizobiales #a6cee3 RnfH
GCF_900115225.1|Proteobacteria_Alphaproteobacteria_Rhizobiales #a6cee3 RnfH
GCF_900215505.1|Proteobacteria_Alphaproteobacteria_Rhizobiales #a6cee3 RnfH
GCF_002285435.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900112335.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_001509585.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900142935.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_002079305.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900217815.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900156655.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900217755.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900188265.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_000016405.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900207575.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_000506525.2|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_001402725.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_002814095.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_001687105.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_900116195.1|Proteobacteria_Alphaproteobacteria_Rhodobacterales #a6cee3 RnfH
GCF_001746755.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_000968135.1|Proteobacteria_Alphaproteobacteria_Rhodospirillales #a6cee3 RnfH
GCF_900100455.1|Proteobacteria_Alphaproteobacteria_Rhizobiales #a6cee3 RnfH


#assign a green, semi-transparent (alpha 0.5) strip to an internal node, without any label. If 'Show internal values' is set to 'No', this will only be displayed if the node is collapsed. 
#9606|5664 rgba(0,255,0,0.5)

